task,start_ns,duration_ns
construct_escape_carry_index,0,9047
prepare_kernel_input,9247,320916
construct_combined_index_npu,331415,4818787
npu_kernel_run,559236,4227891
construct_escape_carry_index,4790333,7343
prepare_kernel_input,4797757,315826
construct_combined_index_npu,5150523,1713825
npu_kernel_run,5353927,651770
read_kernel_output,6006969,472181
construct_escape_carry_index,6499068,7274
prepare_kernel_input,6506452,321256
automaton,6508095,643515
construct_combined_index_npu,6864618,1546770
npu_kernel_run,7060819,487530
read_kernel_output,7548910,466120
construct_escape_carry_index,8021422,6973
prepare_kernel_input,8028475,347546
automaton,8035619,645458
construct_combined_index_npu,8411949,1566948
npu_kernel_run,8607648,499283
read_kernel_output,9107652,472192
construct_escape_carry_index,9584563,6732
prepare_kernel_input,9591375,352165
automaton,9600182,632484
construct_combined_index_npu,9979047,1525580
npu_kernel_run,10175528,467643
read_kernel_output,10643732,465048
construct_escape_carry_index,11113178,6903
prepare_kernel_input,11120151,349811
automaton,11128657,645649
construct_combined_index_npu,11504787,1532964
npu_kernel_run,11701118,456251
read_kernel_output,12157620,486067
construct_escape_carry_index,12647084,6953
prepare_kernel_input,12654127,349379
automaton,12664206,630951
construct_combined_index_npu,13037972,1529176
npu_kernel_run,13235084,460198
read_kernel_output,13695583,465970
construct_escape_carry_index,14164478,7364
prepare_kernel_input,14171922,360982
automaton,14180759,643905
construct_combined_index_npu,14567319,1550887
npu_kernel_run,14763809,480938
read_kernel_output,15245168,470719
construct_escape_carry_index,15718862,6332
prepare_kernel_input,15725264,358267
automaton,15735373,646962
construct_combined_index_npu,16118437,1530028
npu_kernel_run,16315769,469126
read_kernel_output,16785165,470298
construct_escape_carry_index,17258719,6462
prepare_kernel_input,17265251,348528
automaton,17275010,641972
construct_combined_index_npu,17648625,1522995
npu_kernel_run,17844495,466500
read_kernel_output,18311266,473574
construct_escape_carry_index,18787695,6973
prepare_kernel_input,18794749,342366
automaton,18806250,630651
construct_combined_index_npu,19171770,1538364
npu_kernel_run,19375996,460058
read_kernel_output,19836295,467492
construct_escape_carry_index,20306663,6672
prepare_kernel_input,20313415,362695
automaton,20324546,623828
construct_combined_index_npu,20710295,1529868
npu_kernel_run,20904902,472662
read_kernel_output,21377855,472131
construct_escape_carry_index,21852921,6813
prepare_kernel_input,21859804,347196
automaton,21870615,640860
construct_combined_index_npu,22240323,1543543
npu_kernel_run,22449838,444559
read_kernel_output,22894648,475528
construct_escape_carry_index,23373241,7945
prepare_kernel_input,23381287,368515
automaton,23391366,629798
construct_combined_index_npu,23784017,1532943
npu_kernel_run,23978253,479936
read_kernel_output,24458460,467001
construct_escape_carry_index,24927866,6873
prepare_kernel_input,24934809,348849
automaton,24946010,627194
construct_combined_index_npu,25317121,1496585
npu_kernel_run,25518020,438187
read_kernel_output,25956478,473484
construct_escape_carry_index,26432226,7604
prepare_kernel_input,26439910,340323
automaton,26450210,629398
construct_combined_index_npu,26813856,1514299
npu_kernel_run,27008243,467623
read_kernel_output,27476166,468104
construct_escape_carry_index,27946604,6633
prepare_kernel_input,27953317,341535
automaton,27964809,646039
construct_combined_index_npu,28328305,1504941
npu_kernel_run,28527160,446022
read_kernel_output,28973453,474325
construct_escape_carry_index,29450072,7565
prepare_kernel_input,29457787,342106
automaton,29467706,629528
construct_combined_index_npu,29833396,1521392
npu_kernel_run,30027392,473013
read_kernel_output,30500686,468424
construct_escape_carry_index,30971445,8015
prepare_kernel_input,30979540,335373
automaton,30989529,625781
construct_combined_index_npu,31355009,1605831
npu_kernel_run,31548364,448436
read_kernel_output,31997081,510603
construct_escape_carry_index,32520899,8186
automaton,32523053,960303
prepare_kernel_input,32529265,387171
construct_combined_index_npu,32961120,1615169
npu_kernel_run,33164013,490667
read_kernel_output,33655321,465829
construct_escape_carry_index,34125849,6753
prepare_kernel_input,34132692,399224
automaton,34134335,946256
construct_combined_index_npu,34576490,1637811
npu_kernel_run,34778551,501557
read_kernel_output,35280489,468985
construct_escape_carry_index,35754533,7745
prepare_kernel_input,35762388,408111
automaton,35763661,955063
construct_combined_index_npu,36214492,1651537
npu_kernel_run,36426812,496578
read_kernel_output,36923771,481469
construct_escape_carry_index,37410319,7564
prepare_kernel_input,37417974,403100
automaton,37418996,951526
construct_combined_index_npu,37866270,1628183
npu_kernel_run,38070435,493101
read_kernel_output,38563877,472091
construct_escape_carry_index,39039805,7745
prepare_kernel_input,39047710,403161
automaton,39048862,914867
construct_combined_index_npu,39494664,1613966
npu_kernel_run,39698999,484355
read_kernel_output,40183664,472622
construct_escape_carry_index,40660003,7505
prepare_kernel_input,40667598,397741
automaton,40668550,943431
construct_combined_index_npu,41108871,1597806
npu_kernel_run,41313497,465789
read_kernel_output,41779597,469967
construct_escape_carry_index,42253301,7194
automaton,42259463,956425
prepare_kernel_input,42260605,403111
construct_combined_index_npu,42706857,1614368
npu_kernel_run,42911634,490836
read_kernel_output,43402811,467753
construct_escape_carry_index,43873650,7203
prepare_kernel_input,43880954,399123
automaton,43882106,927611
construct_combined_index_npu,44321435,1610691
npu_kernel_run,44533125,478914
read_kernel_output,45012369,472803
construct_escape_carry_index,45488168,6933
prepare_kernel_input,45495211,395146
automaton,45496143,942499
construct_combined_index_npu,45932296,1572769
npu_kernel_run,46136461,477021
read_kernel_output,46613823,458415
construct_escape_carry_index,47075233,7364
prepare_kernel_input,47082708,380788
automaton,47083229,932991
