task,start_ns,duration_ns
construct_escape_carry_index,0,8195
prepare_kernel_input,8406,320385
construct_combined_index_npu,330073,5007377
npu_kernel_run,530331,4442090
construct_escape_carry_index,4980676,8336
prepare_kernel_input,4989162,305247
construct_combined_index_npu,5338151,1710381
npu_kernel_run,5533260,653344
read_kernel_output,6187556,463425
construct_escape_carry_index,6673523,6813
prepare_kernel_input,6680416,331416
automaton,6688331,1119565
construct_combined_index_npu,7048872,1568943
npu_kernel_run,7244632,509793
read_kernel_output,7755046,473424
construct_escape_carry_index,8235994,6382
prepare_kernel_input,8242456,340333
automaton,8249540,1117901
construct_combined_index_npu,8618036,1534227
npu_kernel_run,8813725,477081
read_kernel_output,9291518,464427
construct_escape_carry_index,9761275,7013
prepare_kernel_input,9768368,348108
automaton,9775922,1141296
construct_combined_index_npu,10152484,1522565
npu_kernel_run,10348213,472022
read_kernel_output,10820836,472432
construct_escape_carry_index,11297907,7334
prepare_kernel_input,11305321,335564
automaton,11313166,1141756
construct_combined_index_npu,11675210,1570065
npu_kernel_run,11880838,494143
read_kernel_output,12375702,489305
construct_escape_carry_index,12869585,7304
prepare_kernel_input,12876989,332678
automaton,12883251,1231325
construct_combined_index_npu,13245495,1533546
npu_kernel_run,13440814,483964
read_kernel_output,13925640,467573
construct_escape_carry_index,14397090,7584
prepare_kernel_input,14404775,340012
automaton,14414733,1253768
construct_combined_index_npu,14779212,1549215
npu_kernel_run,14980933,476129
read_kernel_output,15457673,485276
construct_escape_carry_index,15946707,7243
prepare_kernel_input,15954050,338840
automaton,15964049,1249600
construct_combined_index_npu,16328628,1531492
npu_kernel_run,16525109,468936
read_kernel_output,16994656,467072
construct_escape_carry_index,17465816,7223
prepare_kernel_input,17473129,339381
automaton,17483018,1338859
construct_combined_index_npu,17860291,1529598
npu_kernel_run,18053666,477421
read_kernel_output,18531849,476400
construct_escape_carry_index,19012146,5981
prepare_kernel_input,19018227,336095
automaton,19029549,1258086
construct_combined_index_npu,19390100,1495544
npu_kernel_run,19585499,423950
read_kernel_output,20010071,469156
construct_escape_carry_index,20483435,7003
prepare_kernel_input,20490538,360701
automaton,20500537,1269948
construct_combined_index_npu,20885854,1489584
npu_kernel_run,21079831,432106
read_kernel_output,21512668,475088
construct_escape_carry_index,21991843,6573
prepare_kernel_input,21998496,341645
automaton,22008615,1258377
construct_combined_index_npu,22375598,1570546
npu_kernel_run,22570436,467313
read_kernel_output,23038370,468304
construct_escape_carry_index,23510812,7113
prepare_kernel_input,23518006,382021
automaton,23528105,1298713
construct_combined_index_npu,23946966,1538976
npu_kernel_run,24138457,507459
read_kernel_output,24646256,474817
construct_escape_carry_index,25134148,7184
prepare_kernel_input,25141452,307020
automaton,25143776,1302750
construct_combined_index_npu,25486153,1499902
npu_kernel_run,25683295,464106
read_kernel_output,26147662,458275
construct_escape_carry_index,26611257,7815
automaton,26612400,1276601
prepare_kernel_input,26619172,332358
construct_combined_index_npu,26986276,1502538
npu_kernel_run,27183859,459207
read_kernel_output,27643307,461692
construct_escape_carry_index,28108956,7374
automaton,28110970,1240312
prepare_kernel_input,28116400,337758
construct_combined_index_npu,28488964,1496957
npu_kernel_run,28686296,454849
read_kernel_output,29141386,457604
construct_escape_carry_index,29601825,7905
automaton,29608328,1196650
prepare_kernel_input,29610121,341144
construct_combined_index_npu,29986171,1499302
npu_kernel_run,30183604,456643
read_kernel_output,30640507,463145
construct_escape_carry_index,31106658,7434
automaton,31110775,1269157
prepare_kernel_input,31114172,337086
construct_combined_index_npu,31485744,1505533
npu_kernel_run,31682695,457024
read_kernel_output,32139959,460139
construct_escape_carry_index,32603334,6913
automaton,32607282,1215625
prepare_kernel_input,32610347,346875
construct_combined_index_npu,32991437,1495885
npu_kernel_run,33188139,456732
read_kernel_output,33645101,462945
construct_escape_carry_index,34110861,6512
automaton,34115179,1279166
prepare_kernel_input,34117454,335593
construct_combined_index_npu,34487523,1451791
npu_kernel_run,34684685,411307
read_kernel_output,35096252,454358
construct_escape_carry_index,35553666,7274
automaton,35557814,1176311
prepare_kernel_input,35561040,343809
construct_combined_index_npu,35939465,1509410
npu_kernel_run,36136056,454639
read_kernel_output,36590925,480858
construct_escape_carry_index,37074839,7354
automaton,37079087,1184908
prepare_kernel_input,37082293,332628
construct_combined_index_npu,37449096,1491376
npu_kernel_run,37644615,452765
read_kernel_output,38097641,457634
construct_escape_carry_index,38557730,7474
automaton,38560986,1142858
prepare_kernel_input,38565304,341274
construct_combined_index_npu,38940673,1538946
npu_kernel_run,39135942,453406
read_kernel_output,39589588,490907
automaton,40091416,1222349
construct_escape_carry_index,40093831,7935
prepare_kernel_input,40101886,340513
construct_combined_index_npu,40479890,1533686
npu_kernel_run,40676752,476730
read_kernel_output,41154113,460400
construct_escape_carry_index,41620514,8085
automaton,41621836,1264569
prepare_kernel_input,41628699,349561
construct_combined_index_npu,42013807,1506685
npu_kernel_run,42208194,461111
read_kernel_output,42669555,467483
construct_escape_carry_index,43140635,8446
automaton,43142087,1155232
prepare_kernel_input,43149181,337828
construct_combined_index_npu,43520642,1488231
npu_kernel_run,43715591,446974
read_kernel_output,44162805,457434
construct_escape_carry_index,44623305,7805
automaton,44626120,1255361
prepare_kernel_input,44631210,344370
construct_combined_index_npu,45009073,1481929
npu_kernel_run,45203731,448467
read_kernel_output,45652438,466562
construct_escape_carry_index,46122246,7835
automaton,46125352,1228319
prepare_kernel_input,46130211,327689
construct_combined_index_npu,46491192,1497439
npu_kernel_run,46685209,444069
read_kernel_output,47129518,460750
construct_escape_carry_index,47593204,7795
automaton,47596520,1189316
prepare_kernel_input,47601109,352936
construct_combined_index_npu,47988841,1495184
