task,start_ns,duration_ns
construct_escape_carry_index,0,8506
prepare_kernel_input,8716,332208
construct_combined_index_npu,342236,5002804
npu_kernel_run,544849,4428049
construct_escape_carry_index,4976996,7874
prepare_kernel_input,4984951,324302
construct_combined_index_npu,5345351,1626771
npu_kernel_run,5541481,569285
read_kernel_output,6111618,447114
construct_escape_carry_index,6576816,6973
prepare_kernel_input,6583879,351323
automaton,6590071,1341803
construct_combined_index_npu,6972332,1516754
npu_kernel_run,7169605,481308
read_kernel_output,7651505,446302
construct_escape_carry_index,8103848,7475
prepare_kernel_input,8111403,342817
automaton,8118436,1411254
construct_combined_index_npu,8489486,1541180
npu_kernel_run,8693892,470188
read_kernel_output,9164621,471089
construct_escape_carry_index,9640720,7514
prepare_kernel_input,9648304,346634
automaton,9655708,1337625
construct_combined_index_npu,10030896,1510372
npu_kernel_run,10228259,459878
read_kernel_output,10688688,467813
construct_escape_carry_index,11160930,6722
prepare_kernel_input,11167722,338950
automaton,11176519,1406084
construct_combined_index_npu,11541478,1555977
npu_kernel_run,11748910,478112
read_kernel_output,12227563,479065
construct_escape_carry_index,12711387,7073
automaton,12714012,1370827
prepare_kernel_input,12718680,343008
construct_combined_index_npu,13097666,1545267
npu_kernel_run,13294958,479315
read_kernel_output,13774804,468625
construct_escape_carry_index,14248027,7455
automaton,14250723,1349998
prepare_kernel_input,14255702,340924
construct_combined_index_npu,14643244,1532202
npu_kernel_run,14839584,476309
read_kernel_output,15316444,471501
construct_escape_carry_index,15793245,7103
automaton,15795709,1383312
prepare_kernel_input,15800689,339200
construct_combined_index_npu,16175646,1534798
npu_kernel_run,16372919,476650
read_kernel_output,16850130,463485
construct_escape_carry_index,17318043,7144
automaton,17321219,1348696
prepare_kernel_input,17325417,350281
construct_combined_index_npu,17710654,1527223
npu_kernel_run,17907305,475849
read_kernel_output,18383825,461922
construct_escape_carry_index,18850616,7274
automaton,18853632,1287761
prepare_kernel_input,18858120,344591
construct_combined_index_npu,19238078,1584551
npu_kernel_run,19435260,478914
read_kernel_output,19914725,454288
construct_escape_carry_index,20373451,18956
automaton,20379763,1347093
prepare_kernel_input,20393299,384115
construct_combined_index_npu,20823370,1522004
npu_kernel_run,21021404,506897
read_kernel_output,21528952,461341
automaton,22000473,1341562
construct_escape_carry_index,22002697,6512
prepare_kernel_input,22009329,301620
construct_combined_index_npu,22345674,1488791
npu_kernel_run,22542907,473183
read_kernel_output,23016471,460609
construct_escape_carry_index,23481799,6813
automaton,23483612,1374455
prepare_kernel_input,23488722,312189
construct_combined_index_npu,23834615,1532553
npu_kernel_run,24031587,480677
read_kernel_output,24512645,476490
construct_escape_carry_index,24993673,7063
automaton,24995597,1364536
prepare_kernel_input,25000817,331936
construct_combined_index_npu,25367349,1581806
npu_kernel_run,25564280,459879
read_kernel_output,26024529,540541
construct_escape_carry_index,26569248,7343
automaton,26571472,1328908
prepare_kernel_input,26576692,338679
construct_combined_index_npu,26949325,1472069
npu_kernel_run,27146347,434520
read_kernel_output,27581268,466661
construct_escape_carry_index,28052267,6843
automaton,28054201,1335872
prepare_kernel_input,28059190,327649
construct_combined_index_npu,28421574,1485915
npu_kernel_run,28618727,432035
read_kernel_output,29051153,464216
construct_escape_carry_index,29519517,6713
automaton,29521200,1353335
prepare_kernel_input,29526330,347215
construct_combined_index_npu,29907650,1513677
npu_kernel_run,30104191,469176
read_kernel_output,30573757,467232
construct_escape_carry_index,31045358,7534
automaton,31046740,1279205
prepare_kernel_input,31052972,333720
construct_combined_index_npu,31421528,1521702
npu_kernel_run,31618419,466812
read_kernel_output,32085621,467112
construct_escape_carry_index,32556661,7103
automaton,32559175,1351702
prepare_kernel_input,32563864,344721
construct_combined_index_npu,32943401,1480565
