task,start_ns,duration_ns
prepare_kernel_input,62559170,327729
construct_combined_index_npu,62920402,1542092
npu_kernel_run,63113557,517748
read_kernel_output,63631545,464167
construct_escape_carry_index,64098116,9047
prepare_kernel_input,64107243,321978
automaton,64119286,1568983
construct_combined_index_npu,64462664,1603558
npu_kernel_run,64655609,504462
read_kernel_output,65160312,458065
automaton,65688449,1508879
construct_escape_carry_index,65692466,9569
prepare_kernel_input,65702145,330574
construct_combined_index_npu,66066423,1502276
npu_kernel_run,66259046,471781
read_kernel_output,66731068,462733
automaton,67197468,1430281
construct_escape_carry_index,67200694,7254
prepare_kernel_input,67208018,327338
construct_combined_index_npu,67568849,1550879
npu_kernel_run,67766503,515934
read_kernel_output,68282677,464878
construct_escape_carry_index,68749859,9147
prepare_kernel_input,68759087,327127
automaton,68768434,1396177
construct_combined_index_npu,69119908,1537423
npu_kernel_run,69312922,512598
read_kernel_output,69825771,459678
construct_escape_carry_index,70287472,8537
prepare_kernel_input,70296079,327879
automaton,70304855,1420232
construct_combined_index_npu,70657511,1561308
npu_kernel_run,70854653,512709
read_kernel_output,71367602,462634
construct_escape_carry_index,71832610,8977
prepare_kernel_input,71841667,343589
automaton,71857126,1327016
construct_combined_index_npu,72219010,1561468
npu_kernel_run,72411293,519631
read_kernel_output,72931164,465659
construct_escape_carry_index,73399118,11642
prepare_kernel_input,73410860,336425
automaton,73417572,1441542
construct_combined_index_npu,73780728,1532414
npu_kernel_run,73971799,494574
read_kernel_output,74466613,469206
construct_escape_carry_index,74937863,13115
prepare_kernel_input,74951048,328761
automaton,74956047,1281991
construct_combined_index_npu,75313322,1534006
npu_kernel_run,75501858,491338
read_kernel_output,75993436,466200
construct_escape_carry_index,76461851,11702
prepare_kernel_input,76473633,340473
automaton,76480275,1433537
construct_combined_index_npu,76847459,1491386
npu_kernel_run,77033871,448286
read_kernel_output,77482398,468113
construct_escape_carry_index,77954198,12534
automaton,77962183,1366551
prepare_kernel_input,77966982,338279
construct_combined_index_npu,78339015,1487108
npu_kernel_run,78525437,450360
read_kernel_output,78976048,466881
construct_escape_carry_index,79444743,11922
prepare_kernel_input,79456745,336175
automaton,79464219,1436272
construct_combined_index_npu,79826273,1549005
npu_kernel_run,80013326,507549
