task,start_ns,duration_ns
construct_combined_index_npu,369416271,2442728
npu_kernel_run,369609105,436243
read_kernel_output,370045588,473564
automaton,371481036,2440553
construct_escape_carry_index,371485174,7724
prepare_kernel_input,371492978,332708
construct_combined_index_npu,371859149,2444671
npu_kernel_run,372052023,434599
read_kernel_output,372486863,466530
automaton,373921689,2472814
construct_escape_carry_index,373925927,7484
prepare_kernel_input,373933491,337096
construct_combined_index_npu,374304020,2467965
npu_kernel_run,374499459,429360
read_kernel_output,374929059,467652
automaton,376394603,2436967
construct_escape_carry_index,376398761,7354
prepare_kernel_input,376406185,332447
construct_combined_index_npu,376772186,2438278
npu_kernel_run,376964959,382221
read_kernel_output,377347430,468123
automaton,378831660,2439000
construct_escape_carry_index,378835848,7784
prepare_kernel_input,378843713,333328
construct_combined_index_npu,379210655,2449530
npu_kernel_run,379407205,432656
read_kernel_output,379840102,464155
automaton,381270750,43281133
construct_escape_carry_index,381275109,8826
prepare_kernel_input,381284005,342587
construct_combined_index_npu,381660325,43300620
npu_kernel_run,381852818,433999
read_kernel_output,382287057,471630
automaton,424552284,2470550
construct_escape_carry_index,424578153,10480
prepare_kernel_input,424588823,333910
construct_combined_index_npu,424961476,2472163
npu_kernel_run,425157706,521644
read_kernel_output,425679801,466730
automaton,427023114,2472754
construct_escape_carry_index,427041730,9237
prepare_kernel_input,427051057,347265
construct_combined_index_npu,427433909,2462244
npu_kernel_run,427629007,476629
read_kernel_output,428106027,472812
automaton,429495989,2473244
construct_escape_carry_index,429514423,8586
prepare_kernel_input,429523110,338298
construct_combined_index_npu,429896294,2481310
npu_kernel_run,430091983,499903
read_kernel_output,430592266,472441
automaton,431969334,2478174
construct_escape_carry_index,431987788,7685
prepare_kernel_input,431995563,347135
construct_combined_index_npu,432377754,2470469
npu_kernel_run,432574485,483452
read_kernel_output,433058328,473022
automaton,434447608,2482692
construct_escape_carry_index,434466293,9348
prepare_kernel_input,434475711,338548
construct_combined_index_npu,434848384,1173874
npu_kernel_run,435043642,477551
read_kernel_output,435521583,465068
read_kernel_output,436022468,203093
automaton,436930391,2449840
automaton,439380362,657229
