task,start_ns,duration_ns
construct_escape_carry_index,0,9448
prepare_kernel_input,9708,309685
construct_combined_index_npu,320355,5031311
npu_kernel_run,522306,4457487
construct_escape_carry_index,4988279,8577
prepare_kernel_input,4997006,310947
construct_combined_index_npu,5352888,2075088
npu_kernel_run,5548998,1012292
read_kernel_output,6561981,469497
construct_escape_carry_index,7053379,6983
prepare_kernel_input,7060442,330875
automaton,7117140,1677788
construct_combined_index_npu,7428167,1975661
npu_kernel_run,7624908,857520
read_kernel_output,8486726,502258
construct_escape_carry_index,9015715,6792
prepare_kernel_input,9022598,338729
automaton,9025453,1762228
construct_combined_index_npu,9404669,1793637
npu_kernel_run,9601270,538958
read_kernel_output,10140669,457344
automaton,10788021,1848852
construct_escape_carry_index,10807238,6873
prepare_kernel_input,10814191,347586
construct_combined_index_npu,11198507,1842870
npu_kernel_run,11395158,510364
read_kernel_output,11905902,458506
automaton,12637063,1799127
construct_escape_carry_index,12654436,6011
prepare_kernel_input,12660537,345252
construct_combined_index_npu,13041537,1807353
npu_kernel_run,13237958,502018
read_kernel_output,13740407,490756
automaton,14436491,1880431
construct_escape_carry_index,14453954,7053
prepare_kernel_input,14461097,339732
construct_combined_index_npu,14849090,1869911
npu_kernel_run,15044239,502328
read_kernel_output,15546948,465138
automaton,16317112,1664644
construct_escape_carry_index,16335116,7144
prepare_kernel_input,16342360,341004
construct_combined_index_npu,16719162,1670033
npu_kernel_run,16924038,480388
read_kernel_output,17404806,464577
automaton,17981956,1782887
construct_escape_carry_index,18000191,6702
prepare_kernel_input,18006973,345833
construct_combined_index_npu,18389396,1787525
npu_kernel_run,18586257,474597
read_kernel_output,19061244,458937
automaton,19765053,1792215
construct_escape_carry_index,19782626,7074
prepare_kernel_input,19789790,351574
construct_combined_index_npu,20177111,1786704
npu_kernel_run,20373542,472112
read_kernel_output,20846085,459157
automaton,21557518,1947107
construct_escape_carry_index,21574711,6873
prepare_kernel_input,21581674,347145
construct_combined_index_npu,21964016,1964970
npu_kernel_run,22161188,473594
read_kernel_output,22635183,469427
automaton,23504865,1792736
construct_escape_carry_index,23522990,17332
prepare_kernel_input,23540412,352195
construct_combined_index_npu,23929247,1766996
npu_kernel_run,24126319,473935
read_kernel_output,24600644,464848
automaton,25297931,1784560
construct_escape_carry_index,25315785,7053
prepare_kernel_input,25322918,337287
construct_combined_index_npu,25696444,1785942
npu_kernel_run,25901251,470538
read_kernel_output,26372220,465469
automaton,27082702,1800389
construct_escape_carry_index,27100245,6762
prepare_kernel_input,27107108,339370
construct_combined_index_npu,27482587,1803575
npu_kernel_run,27679007,486890
read_kernel_output,28166298,460409
automaton,28883302,1785401
construct_escape_carry_index,28901306,6642
prepare_kernel_input,28908038,342988
construct_combined_index_npu,29286333,1791653
npu_kernel_run,29483475,478103
read_kernel_output,29961969,457674
automaton,30668803,1787476
construct_escape_carry_index,30686887,6944
prepare_kernel_input,30693931,348388
construct_combined_index_npu,31078156,1792906
npu_kernel_run,31274687,477061
read_kernel_output,31752149,469707
automaton,32456720,1787104
construct_escape_carry_index,32474233,7143
prepare_kernel_input,32481456,341625
construct_combined_index_npu,32871533,1775252
npu_kernel_run,33066331,468244
read_kernel_output,33534996,468094
automaton,34244035,1779380
construct_escape_carry_index,34261498,6943
prepare_kernel_input,34268531,342677
construct_combined_index_npu,34646986,1774370
npu_kernel_run,34851352,465238
read_kernel_output,35317021,459708
automaton,36023615,1777727
construct_escape_carry_index,36040968,6733
prepare_kernel_input,36047791,337958
construct_combined_index_npu,36421527,1785732
npu_kernel_run,36618699,479966
read_kernel_output,37099056,460910
automaton,37801432,2097000
construct_escape_carry_index,37818986,12864
prepare_kernel_input,37831960,339331
construct_combined_index_npu,38207429,2090688
npu_kernel_run,38404201,477271
read_kernel_output,38881923,458155
automaton,39898683,1768599
construct_escape_carry_index,39916136,7123
prepare_kernel_input,39923339,338860
construct_combined_index_npu,40298317,1778118
npu_kernel_run,40495049,471039
read_kernel_output,40966519,457795
automaton,41667413,1792725
construct_escape_carry_index,41684856,6933
prepare_kernel_input,41691899,348859
construct_combined_index_npu,42076605,1799789
npu_kernel_run,42273197,474556
read_kernel_output,42748143,473004
automaton,43460438,1771746
construct_escape_carry_index,43478052,7223
prepare_kernel_input,43485365,355953
construct_combined_index_npu,43876584,1755686
npu_kernel_run,44071663,472873
read_kernel_output,44544936,464888
automaton,45232395,1789669
construct_escape_carry_index,45250669,6763
prepare_kernel_input,45257532,338660
construct_combined_index_npu,45632460,1790621
npu_kernel_run,45837116,466251
read_kernel_output,46303768,458355
automaton,47022274,1774211
construct_escape_carry_index,47040088,6653
prepare_kernel_input,47046811,339882
construct_combined_index_npu,47423282,1790621
npu_kernel_run,47620184,475087
read_kernel_output,48095702,475738
automaton,48796695,1791283
construct_escape_carry_index,48814228,7515
prepare_kernel_input,48821873,346193
construct_combined_index_npu,49215366,1795731
npu_kernel_run,49412969,539649
read_kernel_output,49953680,464678
automaton,50588158,1783057
construct_escape_carry_index,50611152,7173
prepare_kernel_input,50618516,355341
construct_combined_index_npu,51011377,1760024
npu_kernel_run,51205895,478133
read_kernel_output,51684498,466381
automaton,52371305,1795451
construct_escape_carry_index,52389129,7604
prepare_kernel_input,52396824,340502
construct_combined_index_npu,52771591,1794649
npu_kernel_run,52970437,458686
read_kernel_output,53429514,463345
automaton,54166846,1779490
construct_escape_carry_index,54185441,7394
prepare_kernel_input,54192905,338600
construct_combined_index_npu,54566431,1766515
npu_kernel_run,54761739,445902
read_kernel_output,55208032,458476
automaton,55946426,1781925
construct_escape_carry_index,55951927,7404
prepare_kernel_input,55959491,339341
construct_combined_index_npu,56333107,1786774
npu_kernel_run,56528415,427127
read_kernel_output,56955782,456663
automaton,57728451,1793587
construct_escape_carry_index,57733471,6713
prepare_kernel_input,57740264,345743
construct_combined_index_npu,58120031,1791773
npu_kernel_run,58315881,436464
read_kernel_output,58752585,463686
automaton,59522128,1781374
construct_escape_carry_index,59526577,7193
prepare_kernel_input,59533851,344270
construct_combined_index_npu,59911955,1782516
npu_kernel_run,60107293,436074
read_kernel_output,60543607,462384
automaton,61303603,1782906
construct_escape_carry_index,61308301,8156
prepare_kernel_input,61316557,344210
construct_combined_index_npu,61694621,1782466
npu_kernel_run,61895861,425033
read_kernel_output,62321124,456953
automaton,63086600,1788587
construct_escape_carry_index,63090998,7294
prepare_kernel_input,63098382,345322
construct_combined_index_npu,63477237,1787776
npu_kernel_run,63671855,440502
read_kernel_output,64112597,457203
automaton,64875287,1788918
construct_escape_carry_index,64879475,7534
prepare_kernel_input,64887090,344390
construct_combined_index_npu,65265184,1795260
npu_kernel_run,65460522,441424
read_kernel_output,65902186,457625
automaton,66664306,1799287
construct_escape_carry_index,66668934,6994
prepare_kernel_input,66676008,351003
construct_combined_index_npu,67060614,1805079
npu_kernel_run,67254841,437035
read_kernel_output,67692106,461171
automaton,68463693,1791824
construct_escape_carry_index,68468312,7304
prepare_kernel_input,68475706,356453
construct_combined_index_npu,68865833,1774431
npu_kernel_run,69058897,431846
read_kernel_output,69490983,460831
automaton,70255617,2405433
construct_escape_carry_index,70259825,6833
prepare_kernel_input,70266728,340042
construct_combined_index_npu,70640464,2414389
npu_kernel_run,70839680,420645
read_kernel_output,71260585,456833
automaton,72661150,1809306
construct_escape_carry_index,72665478,8636
prepare_kernel_input,72674194,347066
construct_combined_index_npu,73055054,1813204
npu_kernel_run,73249471,433048
read_kernel_output,73682759,460329
automaton,74470557,1812522
construct_escape_carry_index,74474815,7434
prepare_kernel_input,74482419,352285
construct_combined_index_npu,74868408,1803506
npu_kernel_run,75061543,434510
read_kernel_output,75496294,462202
automaton,76283170,1808324
construct_escape_carry_index,76287267,7044
prepare_kernel_input,76294381,344079
construct_combined_index_npu,76672064,1805559
npu_kernel_run,76869787,423560
read_kernel_output,77293597,456773
automaton,78091594,1814777
construct_escape_carry_index,78095762,7134
prepare_kernel_input,78102976,340924
construct_combined_index_npu,78477834,1810098
npu_kernel_run,78671780,439450
read_kernel_output,79111470,456973
automaton,79906472,1813624
construct_escape_carry_index,79910529,6653
prepare_kernel_input,79917262,336936
construct_combined_index_npu,80288132,1836388
npu_kernel_run,80483321,422758
read_kernel_output,80906320,456562
automaton,81720186,1817833
construct_escape_carry_index,81724274,24667
prepare_kernel_input,81749051,341825
construct_combined_index_npu,82124720,1812994
npu_kernel_run,82319358,435803
read_kernel_output,82755401,457344
automaton,83538270,1809126
construct_escape_carry_index,83542678,8256
prepare_kernel_input,83551014,353227
construct_combined_index_npu,83937904,1801743
npu_kernel_run,84133053,431194
read_kernel_output,84564487,460620
automaton,85347496,1808686
construct_escape_carry_index,85352205,8556
prepare_kernel_input,85360841,345232
construct_combined_index_npu,85739817,1803445
npu_kernel_run,85936759,435512
read_kernel_output,86372512,460409
automaton,87156282,1818434
construct_escape_carry_index,87160480,8736
prepare_kernel_input,87169296,340573
construct_combined_index_npu,87543453,1826749
npu_kernel_run,87738661,438238
read_kernel_output,88177139,457474
automaton,88974816,1862286
construct_escape_carry_index,88978863,8867
prepare_kernel_input,88987810,348809
construct_combined_index_npu,89370403,1849152
npu_kernel_run,89564890,444289
read_kernel_output,90009419,457154
automaton,90837193,1809777
construct_escape_carry_index,90841621,8436
prepare_kernel_input,90850137,335954
construct_combined_index_npu,91219735,1814697
npu_kernel_run,91414443,433719
read_kernel_output,91848412,457795
automaton,92647060,1818855
construct_escape_carry_index,92651529,8436
prepare_kernel_input,92660045,340493
construct_combined_index_npu,93034612,1818845
npu_kernel_run,93226144,434240
read_kernel_output,93660644,462974
automaton,94466005,1817091
construct_escape_carry_index,94469441,13326
prepare_kernel_input,94482837,334251
construct_combined_index_npu,94853627,1807784
npu_kernel_run,95038145,432828
read_kernel_output,95471213,461612
automaton,96283197,1824825
construct_escape_carry_index,96287264,9308
