task,start_ns,duration_ns
read_kernel_output,206791446,484725
automaton,208647059,2933258
construct_escape_carry_index,208652399,24987
prepare_kernel_input,208677457,353527
construct_combined_index_npu,209066972,2925944
npu_kernel_run,209255578,505935
read_kernel_output,209761974,513019
automaton,211580848,2888884
construct_escape_carry_index,211588512,15630
prepare_kernel_input,211604212,352896
construct_combined_index_npu,211993266,2894495
npu_kernel_run,212181081,495295
read_kernel_output,212676827,493161
automaton,214470022,2936985
construct_escape_carry_index,214474882,15429
prepare_kernel_input,214490531,361503
construct_combined_index_npu,214888272,2934871
npu_kernel_run,215075225,494904
read_kernel_output,215570710,502760
automaton,217407418,2997860
construct_escape_carry_index,217411736,15580
prepare_kernel_input,217427506,358777
construct_combined_index_npu,217823514,2999993
npu_kernel_run,218011068,501086
read_kernel_output,218512394,490166
automaton,220405578,2958896
construct_escape_carry_index,220412391,18225
prepare_kernel_input,220430686,357455
construct_combined_index_npu,220823988,2946844
npu_kernel_run,221011733,536152
read_kernel_output,221549187,518058
automaton,223364885,3003060
construct_escape_carry_index,223369734,14828
prepare_kernel_input,223384763,342657
construct_combined_index_npu,223771333,3007067
npu_kernel_run,223958366,494884
read_kernel_output,224453801,515042
automaton,226368235,3044298
construct_escape_carry_index,226373095,15950
prepare_kernel_input,226389115,341685
construct_combined_index_npu,226778801,3049116
npu_kernel_run,226967667,498351
read_kernel_output,227466459,488161
automaton,229412893,3003902
construct_escape_carry_index,229417212,14417
prepare_kernel_input,229431829,359579
construct_combined_index_npu,229828358,3003420
npu_kernel_run,230015711,500525
read_kernel_output,230516677,505905
automaton,232417085,3143645
construct_escape_carry_index,232424830,16942
prepare_kernel_input,232441862,354018
construct_combined_index_npu,232832279,3140319
npu_kernel_run,233020234,852629
read_kernel_output,233873304,491558
automaton,235561071,3156950
construct_escape_carry_index,235566050,18194
prepare_kernel_input,235584315,353146
construct_combined_index_npu,235973028,3153404
npu_kernel_run,236161154,553074
read_kernel_output,236714679,520953
automaton,238718311,3057382
construct_escape_carry_index,238725866,16260
prepare_kernel_input,238742207,348998
construct_combined_index_npu,239126903,3058133
npu_kernel_run,239315258,533187
read_kernel_output,239848836,482190
automaton,241775994,2840292
construct_escape_carry_index,241781925,18926
prepare_kernel_input,241800931,349159
construct_combined_index_npu,242185237,2847656
npu_kernel_run,242372701,536653
read_kernel_output,242909775,476279
automaton,244616517,2890296
construct_escape_carry_index,244621446,15479
prepare_kernel_input,244637136,360410
construct_combined_index_npu,245033534,2890277
npu_kernel_run,245223202,532736
read_kernel_output,245756519,517497
automaton,247507054,2970728
construct_escape_carry_index,247514929,18545
prepare_kernel_input,247533554,355090
construct_combined_index_npu,247924121,2975147
npu_kernel_run,248111535,542665
read_kernel_output,248654650,504653
automaton,250478223,2985336
construct_escape_carry_index,250485337,16661
prepare_kernel_input,250502078,361212
construct_combined_index_npu,250899739,2966360
npu_kernel_run,251087784,568383
read_kernel_output,251658561,488593
automaton,253464020,7184684
construct_escape_carry_index,253484188,8616
prepare_kernel_input,253492975,329642
construct_combined_index_npu,253866450,7207697
npu_kernel_run,254062871,559596
read_kernel_output,254622878,468084
automaton,260649335,2756424
construct_escape_carry_index,260674914,8295
prepare_kernel_input,260683280,352635
construct_combined_index_npu,261074648,2726408
npu_kernel_run,261272402,510904
read_kernel_output,261783697,449949
automaton,263405980,2687183
construct_escape_carry_index,263425527,7955
prepare_kernel_input,263433572,330704
construct_combined_index_npu,263801246,2688125
npu_kernel_run,263995603,487090
read_kernel_output,264483083,472903
automaton,266093393,2666565
construct_escape_carry_index,266113101,8846
prepare_kernel_input,266122047,329663
construct_combined_index_npu,266489561,2658990
npu_kernel_run,266687034,493562
read_kernel_output,267180987,457022
automaton,268760178,2879536
construct_escape_carry_index,268768724,9408
prepare_kernel_input,268778272,333790
construct_combined_index_npu,269148742,2891088
npu_kernel_run,269345944,506105
read_kernel_output,269852430,455360
automaton,271640185,2949619
construct_escape_carry_index,271656917,7855
prepare_kernel_input,271664852,337136
construct_combined_index_npu,272040040,2973193
npu_kernel_run,272237273,522276
read_kernel_output,272760160,515854
automaton,274590074,3031744
construct_escape_carry_index,274630150,9979
prepare_kernel_input,274640410,328039
construct_combined_index_npu,275013905,3014661
npu_kernel_run,275205967,552052
read_kernel_output,275759572,458817
